evidence,source_log,run_id,seq,host_ns,cpu,global_icount,model_ns,visible_ns,window_ns,slope_q32,event,counter_ticks
measured,probe-memory-buffer,run,65,11444908,0,2655350,1327675,343411,1000000,1555120932,update,0
measured,probe-memory-buffer,run,66,11492308,0,2655350,1327675,360609,1000000,1555120932,read,22538
measured,probe-memory-buffer,run,67,11555408,0,2655350,1327675,383457,1000000,1555120932,read,23966
measured,probe-memory-buffer,run,68,11570208,0,2786420,1393210,393210,1000000,1800651570,update,0
measured,probe-memory-buffer,run,69,11618208,0,2786420,1393210,413375,1000000,1800651570,read,25835
measured,probe-memory-buffer,run,70,11681408,0,2786420,1393210,439872,1000000,1800651570,read,27492
measured,probe-memory-buffer,run,71,11695908,0,2851955,1425977,445867,1000000,1641618459,update,0
measured,probe-memory-buffer,run,72,11744708,0,2851955,1425977,464595,1000000,1641618459,read,29037
measured,probe-memory-buffer,run,73,11807908,0,2851955,1425977,488713,1000000,1641618459,read,30544
measured,probe-memory-buffer,run,74,11821508,0,2983025,1491512,493873,1000000,1802297982,update,0
measured,probe-memory-buffer,run,75,11870708,0,2983025,1491512,514560,1000000,1802297982,read,32160
measured,probe-memory-buffer,run,76,11933908,0,2983025,1491512,541081,1000000,1802297982,read,33817
measured,probe-memory-buffer,run,77,11946908,0,3048560,1524280,546494,1000000,1643227338,update,0
measured,probe-memory-buffer,run,78,11997208,0,3048560,1524280,565776,1000000,1643227338,read,35361
measured,probe-memory-buffer,run,79,12060408,0,3048560,1524280,589956,1000000,1643227338,read,36872
measured,probe-memory-buffer,run,80,12072508,0,3179630,1589815,594509,1000000,1804202486,update,0
measured,probe-memory-buffer,run,81,12123308,0,3179630,1589815,615890,1000000,1804202486,read,38493
measured,probe-memory-buffer,run,82,12186508,0,3179630,1589815,642481,1000000,1804202486,read,40155
measured,probe-memory-buffer,run,83,12198208,0,3245165,1622582,647312,1000000,1643688915,update,0
measured,probe-memory-buffer,run,84,12258408,0,3245165,1622582,670350,1000000,1643688915,read,41896
measured,probe-memory-buffer,run,85,12321508,0,3245165,1622582,694537,1000000,1643688915,read,43408
measured,probe-memory-buffer,run,86,12323908,0,3376235,1688117,695379,1000000,1803409979,update,0
measured,probe-memory-buffer,run,87,12384408,0,3376235,1688117,720782,1000000,1803409979,read,45048
measured,probe-memory-buffer,run,88,12450908,0,3441770,1720885,748704,1000000,1639960379,update,0
measured,probe-memory-buffer,run,89,12482208,0,3441770,1720885,760655,1000000,1639960379,read,47540
measured,probe-memory-buffer,run,90,12546808,0,3441770,1720885,785359,1000000,1639960379,read,49084
measured,probe-memory-buffer,run,91,12572808,0,3507305,1753652,795211,1000000,1499277146,update,0
measured,probe-memory-buffer,run,92,12610208,0,3507305,1753652,808301,1000000,1499277146,read,50518
measured,probe-memory-buffer,run,93,12673008,0,3507305,1753652,830258,1000000,1499277146,read,51891
measured,probe-memory-buffer,run,94,12693808,0,3638375,1819187,837484,1000000,1749746781,update,0
measured,probe-memory-buffer,run,95,12736208,0,3638375,1819187,854798,1000000,1749746781,read,53424
measured,probe-memory-buffer,run,96,12799409,0,3638375,1819187,880546,1000000,1749746781,read,55034
measured,probe-memory-buffer,run,97,12814809,0,3703910,1851955,886779,1000000,1583885564,update,0
measured,probe-memory-buffer,run,98,12862709,0,3703910,1851955,904480,1000000,1583885564,read,56530
measured,probe-memory-buffer,run,99,12925909,0,3703910,1851955,927787,1000000,1583885564,read,57986
measured,probe-memory-buffer,run,100,12935509,0,3834980,1917490,931253,1000000,1815293293,update,0
measured,probe-memory-buffer,run,101,12988709,0,3834980,1917490,953780,1000000,1815293293,read,59611
measured,probe-memory-buffer,run,102,13052009,0,3834980,1917490,980492,1000000,1815293293,read,61280
measured,probe-memory-buffer,run,103,13056409,0,3900515,1950257,982309,1000000,1633216132,update,0
measured,probe-memory-buffer,run,104,13115209,0,3900515,1950257,1004706,1000000,1633216132,read,62794
measured,probe-memory-buffer,run,105,13177509,0,3966050,1983025,1028358,1000000,1527388037,update,0
measured,probe-memory-buffer,run,106,13184809,0,3966050,1983025,1030954,1000000,1527388037,read,64434
measured,probe-memory-buffer,run,107,13247609,0,3966050,1983025,1053322,1000000,1527388037,read,65832
measured,probe-memory-buffer,run,108,13298509,0,4097120,2048560,1071352,1000000,1740783065,update,0
measured,probe-memory-buffer,run,109,13310909,0,4097120,2048560,1076418,1000000,1740783065,read,67276
measured,probe-memory-buffer,run,110,13374109,0,4097120,2048560,1102074,1000000,1740783065,read,68879
measured,probe-memory-buffer,run,111,13419609,0,4162655,2081327,1120434,1000000,1608357229,update,0
measured,probe-memory-buffer,run,112,13437309,0,4162655,2081327,1127137,1000000,1608357229,read,70446
