case,ips,window_ns,injected,runs,reads,guest_pass,model_bad_runs,model_bad_samples,clock_bad_samples,counter_mapping_bad,bound_hits,positive_slope_bound_hits,plateau_pairs,min_updates,max_updates,model_repeat_median,counter_repeat_median,visible_variance_median,model_variance_median,probe_host_median,baseline_host_median,dropped,unlocked
burst,200000000,1000000,False,7,28000,7,0,0,0,0,0,0,0,91,110,0.978494623655914,0.028257064266066518,3724547038.8782945,5826832778.477659,0.04886000099941157,0.04619260100298561,0,0
steady,200000000,1000000,False,7,28000,7,0,0,0,0,0,0,0,19,30,0.9974993748437109,0.22180545136284072,133799704.77468592,490732277.4050445,0.03859630100487266,0.03779750099783996,0,0
cross-cpu,200000000,1000000,False,7,28000,7,0,0,0,0,0,0,0,32,40,0.994498624656164,0.08752188047011752,304031687.90039754,810016730.4955302,0.0406617010012269,0.039386900993122254,0,0
dense,200000000,1000000,False,7,28000,7,0,0,0,0,0,0,0,1,1,1.0,0.9499874968742186,21.7096614738831,0,0.026849300003959797,0.026114501000847667,0,0
saturation,20000000000,10000,True,7,28000,7,7,13922,0,0,27806,27806,27792,5,6,0.9997499374843711,0.9927481870467617,3337.98305140176,24994.998687031097,0.6419948119946639,0.12473080199561082,0,0
high-2g,2000000000,1000000,False,7,28000,7,0,0,0,0,0,0,0,1,1,1.0,0.8899724931232809,18.88065464728273,0,0.0273038999948767,0.026319001000956632,0,0
high-20g,20000000000,1000000,False,7,28000,7,0,0,0,0,0,0,0,1,1,1.0,0.8907226806701676,36.31509615338318,0,0.027699600002961233,0.026965500001097098,0,0
sustained-2g,2000000000,1000000,False,7,56000,7,0,0,0,0,0,0,0,4165,4329,0.48081010126265783,0.0,32295554.754679002,810753188.9455339,0.5764649720003945,0.5731341689970577,0,0
sustained-20g,20000000000,1000000,False,7,56000,7,7,85145,0,0,0,0,0,4157,4337,0.47943492936617077,0.0,16600326.401390435,468805710.6846325,0.5781695709956693,0.5773951709998073,0,0
sustained-200m,200000000,1000000,False,7,56000,7,0,0,0,0,0,0,0,4212,4286,0.47718464808101013,0.0,43703648127.11492,69066024703.16957,0.5885761919998913,0.5826848130018334,0,0
saturation-2g,2000000000,10000,True,7,28000,7,0,0,0,0,27699,27699,27678,6,6,0.9994998749687422,0.9889972493123281,5328.496467827885,49987.49062109238,0.6685390090060537,0.2285761579987593,0,0
