evidence,source_log,run_id,seq,host_ns,cpu,global_icount,model_ns,visible_ns,window_ns,slope_q32,event,counter_ticks
measured,probe-memory-buffer,run,0,67200,0,0,0,0,1000000,0,update,0
measured,probe-memory-buffer,run,1,183200,0,0,0,0,1000000,16777216,resume,0
measured,probe-memory-buffer,run,2,685900,0,0,0,1959,1000000,16777216,read,122
measured,probe-memory-buffer,run,3,745800,0,0,0,2197,1000000,16777216,read,137
measured,probe-memory-buffer,run,4,797700,0,0,0,2400,1000000,16777216,read,150
measured,probe-memory-buffer,run,5,798000,0,0,0,2401,1000000,16777216,read,150
measured,probe-memory-buffer,run,6,798200,0,0,0,2402,1000000,16777216,read,150
measured,probe-memory-buffer,run,7,798400,0,0,0,2403,1000000,16777216,read,150
measured,probe-memory-buffer,run,8,798600,0,0,0,2404,1000000,16777216,read,150
measured,probe-memory-buffer,run,9,798800,0,0,0,2405,1000000,16777216,read,150
measured,probe-memory-buffer,run,10,799000,0,0,0,2405,1000000,16777216,read,150
measured,probe-memory-buffer,run,11,802200,0,0,0,2417,1000000,16777216,read,151
measured,probe-memory-buffer,run,12,802500,0,0,0,2419,1000000,16777216,read,151
measured,probe-memory-buffer,run,13,802700,0,0,0,2419,1000000,16777216,read,151
measured,probe-memory-buffer,run,14,802900,0,0,0,2420,1000000,16777216,read,151
measured,probe-memory-buffer,run,15,803100,0,0,0,2421,1000000,16777216,read,151
measured,probe-memory-buffer,run,16,803300,0,0,0,2422,1000000,16777216,read,151
measured,probe-memory-buffer,run,17,803500,0,0,0,2423,1000000,16777216,read,151
measured,probe-memory-buffer,run,18,803600,0,0,0,2423,1000000,16777216,read,151
measured,probe-memory-buffer,run,19,803800,0,0,0,2424,1000000,16777216,read,151
measured,probe-memory-buffer,run,20,804000,0,0,0,2425,1000000,16777216,read,151
measured,probe-memory-buffer,run,21,804200,0,0,0,2426,1000000,16777216,read,151
measured,probe-memory-buffer,run,22,804400,0,0,0,2426,1000000,16777216,read,151
measured,probe-memory-buffer,run,23,804600,0,0,0,2427,1000000,16777216,read,151
measured,probe-memory-buffer,run,24,804800,0,0,0,2428,1000000,16777216,read,151
