evidence,source_log,run_id,seq,host_ns,cpu,global_icount,model_ns,visible_ns,window_ns,slope_q32,event,counter_ticks
measured,probe-memory-buffer,run,0,144300,0,0,0,0,10000,0,update,0
measured,probe-memory-buffer,run,1,288300,0,0,0,0,10000,16777216,resume,0
measured,probe-memory-buffer,run,2,839000,0,0,0,2150,10000,16777216,read,134
measured,probe-memory-buffer,run,3,1029900,0,0,0,2896,10000,16777216,read,181
measured,probe-memory-buffer,run,4,1204500,0,0,0,3578,10000,16777216,read,223
measured,probe-memory-buffer,run,5,1327800,0,0,0,4060,10000,16777216,read,253
measured,probe-memory-buffer,run,6,1450800,0,0,0,4540,10000,16777216,read,283
measured,probe-memory-buffer,run,7,1573600,0,0,0,5020,10000,16777216,read,313
measured,probe-memory-buffer,run,8,1695800,0,0,0,5497,10000,16777216,read,343
measured,probe-memory-buffer,run,9,1816000,0,0,0,5967,10000,16777216,read,372
measured,probe-memory-buffer,run,10,1934800,0,0,0,6431,10000,16777216,read,401
measured,probe-memory-buffer,run,11,2053500,0,0,0,6895,10000,16777216,read,430
measured,probe-memory-buffer,run,12,2172800,0,0,0,7361,10000,16777216,read,460
measured,probe-memory-buffer,run,13,2335500,0,0,0,7996,10000,16777216,read,499
measured,probe-memory-buffer,run,14,2462800,0,0,0,8494,10000,16777216,read,530
measured,probe-memory-buffer,run,15,2587000,0,0,0,8979,10000,16777216,read,561
measured,probe-memory-buffer,run,16,2711100,0,0,0,9464,10000,16777216,read,591
measured,probe-memory-buffer,run,17,2834900,0,0,0,9947,10000,16777216,read,621
measured,probe-memory-buffer,run,18,2959300,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,19,3172400,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,20,3373200,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,21,3499400,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,22,3622800,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,23,3745700,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,24,3868900,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,25,4082900,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,26,4232300,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,27,4408200,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,28,4548000,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,29,4684900,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,30,4820100,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,31,4947600,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,32,5073800,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,33,5217900,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,34,5342000,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,35,5488600,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,36,5614400,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,37,5737400,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,38,5858500,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,39,5977900,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,40,6096700,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,41,6215500,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,42,6334400,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,43,6453200,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,44,6573400,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,45,6692400,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,46,6811700,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,47,6930700,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,48,7049500,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,49,7168300,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,50,7287400,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,51,7406200,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,52,7525100,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,53,7644100,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,54,7763100,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,55,7881900,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,56,8002000,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,57,8122100,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,58,8241900,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,59,8361200,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,60,8480500,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,61,8599900,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,62,8719100,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,63,8838100,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,64,8957300,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,65,9076400,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,66,9195600,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,67,9314900,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,68,9434200,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,69,9553700,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,70,9672900,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,71,9792400,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,72,9911600,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,73,10030800,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,74,10149900,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,75,10269100,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,76,10388400,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,77,10507700,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,78,10627400,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,79,10746500,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,80,10867300,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,81,11030800,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,82,11159500,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,83,11318800,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,84,11447400,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,85,11575400,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,86,11705100,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,87,11836300,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,88,11966000,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,89,12074500,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,90,12194700,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,91,12338500,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,92,12475800,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,93,12623800,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,94,12765900,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,95,12891300,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,96,13028100,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,97,13169100,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,98,13303700,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,99,13443300,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,100,13596100,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,101,13729400,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,102,13853300,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,103,13995500,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,104,14140000,0,0,0,10000,10000,16777216,bound_hit,625
measured,probe-memory-buffer,run,105,14268700,0,0,0,10000,10000,16777216,bound_hit,625
