evidence,source_log,run_id,seq,host_ns,cpu,global_icount,model_ns,visible_ns,window_ns,slope_q32,event,counter_ticks
measured,probe-memory-buffer,run,0,131600,0,0,0,0,1000000,0,update,0
measured,probe-memory-buffer,run,1,817001,0,0,0,0,1000000,16777216,resume,0
measured,probe-memory-buffer,run,2,1474801,0,0,0,2569,1000000,16777216,read,160
measured,probe-memory-buffer,run,3,1608701,0,0,0,3092,1000000,16777216,read,193
measured,probe-memory-buffer,run,4,1716701,0,0,0,3514,1000000,16777216,read,219
measured,probe-memory-buffer,run,5,1778401,0,0,0,3755,1000000,16777216,read,234
measured,probe-memory-buffer,run,6,10232907,0,200000,1000000,36780,1000000,265044808,update,0
measured,probe-memory-buffer,run,7,10380807,0,200000,1000000,45906,1000000,190886829,update,0
measured,probe-memory-buffer,run,8,10401907,0,200000,1000000,46843,1000000,190886829,read,2927
measured,probe-memory-buffer,run,9,10464807,0,200000,1000000,49643,1000000,190886829,read,3102
measured,probe-memory-buffer,run,10,10504707,0,265535,1327675,327675,1000000,1707514994,update,0
measured,probe-memory-buffer,run,11,10526707,0,265535,1327675,336461,1000000,1707514994,read,21028
measured,probe-memory-buffer,run,12,10588107,0,265535,1327675,360871,1000000,1707514994,read,22554
measured,probe-memory-buffer,run,13,10628307,0,396605,1983025,983025,1000000,2569721018,update,0
measured,probe-memory-buffer,run,14,10649907,0,396605,1983025,995948,1000000,2569721018,read,62246
measured,probe-memory-buffer,run,15,10711607,0,396605,1983025,1032924,1000000,2569721018,read,64557
measured,probe-memory-buffer,run,16,10751807,0,462140,2310700,1310700,1000000,3107479454,update,0
measured,probe-memory-buffer,run,17,10773507,0,462140,2310700,1326472,1000000,3107479454,read,82904
measured,probe-memory-buffer,run,18,10834807,0,462140,2310700,1370896,1000000,3107479454,read,85681
measured,probe-memory-buffer,run,19,10875507,0,593210,2966050,1966050,1000000,3462475020,update,0
measured,probe-memory-buffer,run,20,10896607,0,593210,2966050,1983060,1000000,3462475020,read,123941
measured,probe-memory-buffer,run,21,10958307,0,593210,2966050,2032881,1000000,3462475020,read,127055
measured,probe-memory-buffer,run,22,11002307,0,658745,3293725,2293725,1000000,3705683852,update,0
measured,probe-memory-buffer,run,23,11072607,0,658745,3293725,2354465,1000000,3705683852,read,147154
measured,probe-memory-buffer,run,24,11127507,0,724280,3621400,2621400,1000000,3983196478,update,0
measured,probe-memory-buffer,run,25,11149207,0,724280,3621400,2641524,1000000,3983196478,read,165095
measured,probe-memory-buffer,run,26,11219307,0,724280,3621400,2706628,1000000,3983196478,read,169164
measured,probe-memory-buffer,run,27,11250707,0,855350,4276750,3276750,1000000,4178644505,update,0
measured,probe-memory-buffer,run,28,11281107,0,855350,4276750,3306423,1000000,4178644505,read,206651
measured,probe-memory-buffer,run,29,11342908,0,855350,4276750,3366551,1000000,4178644505,read,210409
measured,probe-memory-buffer,run,30,11374208,0,920885,4604425,3604425,1000000,4294967296,update,0
measured,probe-memory-buffer,run,31,11404308,0,920885,4604425,3634625,1000000,4294967296,read,227164
measured,probe-memory-buffer,run,32,11466008,0,920885,4604425,3696425,1000000,4294967296,read,231026
measured,probe-memory-buffer,run,33,11497408,0,1051955,5259775,4259775,1000000,4294967296,update,0
measured,probe-memory-buffer,run,34,11527808,0,1051955,5259775,4290275,1000000,4294967296,read,268142
measured,probe-memory-buffer,run,35,11589508,0,1051955,5259775,4352075,1000000,4294967296,read,272004
measured,probe-memory-buffer,run,36,11620808,0,1117490,5587450,4587450,1000000,4294967296,update,0
measured,probe-memory-buffer,run,37,11651008,0,1117490,5587450,4617650,1000000,4294967296,read,288603
measured,probe-memory-buffer,run,38,11712708,0,1117490,5587450,4679450,1000000,4294967296,read,292465
measured,probe-memory-buffer,run,39,11744408,0,1248560,6242800,5242800,1000000,4294967296,update,0
measured,probe-memory-buffer,run,40,11774508,0,1248560,6242800,5272900,1000000,4294967296,read,329556
measured,probe-memory-buffer,run,41,11836208,0,1248560,6242800,5334700,1000000,4294967296,read,333418
measured,probe-memory-buffer,run,42,11867608,0,1314095,6570475,5570475,1000000,4294967296,update,0
measured,probe-memory-buffer,run,43,11897708,0,1314095,6570475,5600575,1000000,4294967296,read,350035
measured,probe-memory-buffer,run,44,11959408,0,1314095,6570475,5662375,1000000,4294967296,read,353898
measured,probe-memory-buffer,run,45,11991208,0,1445165,7225825,6225825,1000000,4294967296,update,0
measured,probe-memory-buffer,run,46,12021108,0,1445165,7225825,6255925,1000000,4294967296,read,390995
measured,probe-memory-buffer,run,47,12082808,0,1445165,7225825,6317625,1000000,4294967296,read,394851
measured,probe-memory-buffer,run,48,12111608,0,1510700,7553500,6553500,1000000,4294967296,update,0
measured,probe-memory-buffer,run,49,12151608,0,1510700,7553500,6593500,1000000,4294967296,read,412093
measured,probe-memory-buffer,run,50,12214208,0,1510700,7553500,6656200,1000000,4294967296,read,416012
measured,probe-memory-buffer,run,51,12231108,0,1576235,7881175,6881175,1000000,4294967296,update,0
measured,probe-memory-buffer,run,52,12276208,0,1576235,7881175,6926275,1000000,4294967296,read,432892
measured,probe-memory-buffer,run,53,12338008,0,1576235,7881175,6988175,1000000,4294967296,read,436760
measured,probe-memory-buffer,run,54,12350708,0,1707305,8536525,7536525,1000000,4294967296,update,0
measured,probe-memory-buffer,run,55,12399408,0,1707305,8536525,7585225,1000000,4294967296,read,474076
measured,probe-memory-buffer,run,56,12461108,0,1707305,8536525,7647025,1000000,4294967296,read,477939
measured,probe-memory-buffer,run,57,12470608,0,1772840,8864200,7864200,1000000,4294967296,update,0
measured,probe-memory-buffer,run,58,12523008,0,1772840,8864200,7916700,1000000,4294967296,read,494793
measured,probe-memory-buffer,run,59,12584708,0,1772840,8864200,7978400,1000000,4294967296,read,498650
measured,probe-memory-buffer,run,60,12590508,0,1903910,9519550,8519550,1000000,4294967296,update,0
measured,probe-memory-buffer,run,61,12646108,0,1903910,9519550,8575150,1000000,4294967296,read,535946
